675,dodeureboko,,red,,,
676,dodiai,,"right, good",,,
677,dodiawo,nanga,friend,,,
678,dodiba,nanga,head *hair,body part,,
679,dodigiranga,,long wide *mat,,,
680,dodigiranga,,long thin *object,,,
681,dodiha,,snake,,,
682,dodilakeuru,,vessel,,,
683,dodilibu,,sayur liling,,,
684,dodilibu,,vegetable,,,
685,dodinguku,,reward,,,
686,dodipoko,,short,,,
687,dodo,o,sweet rice cakes,food,,
688,dodoa,i na,"matter, happen",,inidodoa,what's the matter?
689,dodoaha,Q,why,,,
690,dodoana,,call names,,,
691,dododoto,o,youngest *child,kin,,
692,dodogumu,ma,rest,,,
693,dodoku,o,bridge,,,
694,dodoma,o,k o *shark,animal,,
695,dodomi,,placenta,body part,,
696,dodomo,,"point, peak",,,
697,dodomo,,"point, pinacle",,,
698,dodongu,,mark,,,
699,dodoole,,roasted *sago balls,,,
700,dodopoko,,spear,,,
701,dodoporono,,pile,,,
702,dodoporono,,pile,,,
703,dodora,,"weep for, lament",,,
704,dodoto,nanga,younger same-sex *sibling,kin,,
705,dodotoko,,instruction,,,
706,dodouno,,"clear, transparent",,,
707,dodowi,,forearm,,,
708,dodowiti,,carrying *stick,,,
709,dodubena,,soft,,,
710,dodubuho,,weight,,,
711,dodubuho,,burdening,,,
712,doduga,,dry *measure,,,
713,dodukuru,,crossbeam,,,
714,dodulali,,stay in one spot,,,
715,dodulihi,,pencil,,,
716,dodumu,,bath water,,,
717,dodumule,,pull out weeds,,,
718,dodupukuru,,wide *mat,,,
719,dodutuku,,"anvil, stamper",,,
720,dofai,,lime,,,
721,dofo,,"feed, foster",,,
722,dogilianga,,"unfurl, unroll",,,
723,dogo,,"throw in, fill up",,,
724,dogohanga,,insanity,,,
725,dogowini,,hard,,,
726,dogu,,hold up,,,
727,dogumu,,hold up,,,
728,doha-dohangau,,desire,,,
729,dohai,,lime,,,
730,dohangau,,fasten,,,
731,doharabaka,,splash,,,
732,dohata,,angry,,,
733,doheuwelanga,,whirl in,,,
734,dohi,,pick,,,
735,dohiki,,steal,,,
736,dohoho,,fly,,,
737,dohotana,,release,,,
738,dohu-dohuku,,stammer,,,
739,dohuku,,"go, backwards",,,
740,dohutu,,darkness,,,
741,doi,,banana,,,
742,doi-doimi,,archery,,,
743,doimi,ho ma,shoot (with bow),hunting,,
744,doio,o,crayfish,animal,,
745,dojo,,pass by,,,
746,doka,,stoke fire,,,
747,doka,loc,there,,,
748,doka-dokara,ma,red,color,,
749,dokeute,,forehead,,,
750,dokeute,,crack,,,
751,doko,ha,"step on, step in",tool,o ode yadoko ma modoi ipitata,the pig stepped on the snare and it sprung
752,dokoto,o,wild coconut *palm,plant,,
753,dola-bololo,,incantation,,,
754,dolya,,contents,,,
755,dolyomo,,point,,,
756,doma,,"dead, homicide",,,
757,domi,,coconut *spike,,,
758,domigu,,week,,,
759,domoata,o,"haze, mist",,,
760,domoro,,first *fruit,,,
761,domoteke,ha,agree,,ihidomoteke,agree with me
762,domoteuke,,splint,,,
763,domuraga,,"premature, eager, hurried, rash",,,
764,done,part,then,,,
765,donga-donga,,joints,,,
766,dongono,,month,,,
767,doohi,o,k o *fish,fish,,
768,doolenge,ma,"dry, not *fresh",,,
769,doouku,,"faded, withered",,,
770,dopa-dopa,,singing game,,,
771,dopo-dopo,,portion of *sago,,,
772,dopo-dopo,,dagger,,,
773,dopoko,,stitch,,,
774,dopotoka,,struck using spring action,,,
775,dora,ha,"have compassion, have pity",,,
776,dorari,,"attend *feasts, privates",,,
777,dori,,sprout,,,
778,doriha,,put against,,,
779,doriki,,basketwork,,,
780,doro,,"strait, passage",,,
781,doroa,,son in law,kin,,
782,dorou,,"bad, ugly",,,
