529,darunu,,seperate,
530,darunu,,property stake,
531,datauru,,pull closed,
532,dateuke,,beside,
533,datomo,ha,to *plant,
534,datoro,o,conflict,
535,dau,loc,below,
536,dawaga,,close,
537,dawara,,order in housekeeping,
538,de,part,"and, with, then",
539,debini,o,coconut oil,
540,debini,,pure,
541,deda,o,k o fish,fish
542,dede,,with,
543,dedeta,o,"sieve, to *sift with a sieve",
544,dedetoro,o,"mouse, rat",animal
545,dedouro,o,k o *tree,plant
546,dego,,set,
547,deheuro,,"twine, climb",
548,dekano,,long duration,time
549,dekaura,,"top, point",
550,demo,ho ma,"speak, language, word",
551,demo-demo,o,headhunters,
552,demoko,o,mushrooms,plant
553,dengi,o,fine *rattan,plant
554,dengo,,"joint, articulation",
555,deo,,squeeze,
556,deri,o,large pandanus *sack,
557,derihi,o,palm leaf *cup,household
558,dero,,time of,
559,dero,,rightly,
560,deta,,pour,
561,detouro,,in,
562,detu,ho,make *fire,
563,deubeho,,"narrow, tight",
564,deubeturu,i na,"lazy, laziness",
565,deudela,,bowstring,
566,deudeli,,tendon,
567,deukekeure,,"grate, groin",
568,deuremi,,second year rice *field,
569,deurero,,dry,
570,dewili,,"fiber, thread",
571,dia,o,"knife, cleaver",
572,diagi,,bamboo pot,
573,diai,ho,make,
574,diangi,,"live, stay, sojourn",
575,diauo,,"mate, fellow, companion",
576,diba,o,palm,plant
577,dibitumu,,press,
578,dibo-diboko,,swim,
579,diburu,,sprout,
580,dide,,"hang, carry",
581,didide,,cradle,
582,didipo,,stick used to pick fruit,
583,didomo,,heal,
584,didumu,,"cover, deny",
585,difu,ho,to round Cape Djere,nautical
586,digi-digi,,close by,
587,digiranga,,longitudinal,
588,dihanga,,"firmament, heaven",
589,dihidete,,sail,nautical
590,dihihiri,,drone,
591,dihini,,dozen *chickens,
592,dihira,,front piece,
593,dihiwara,,shine upon,
594,dihongo,,"happiness, prosperity, profit",
595,dika,part,just,
596,diki,,support,
597,diki-diki,,walking *stick,
598,dikiti,,cough,
599,dilago,,fruit,
600,dilibu,,fruit,
601,dilibu,,"fruit, fetus",
602,diliki,,male *genetalia,
603,dilikini,,spirits of the dead,
604,dilikitu,,divorced wife,
605,dimoaka,,remainder,
606,dimo-dimono,o,the *oldest,
607,dina,loc,on the land,
608,dinena,DEM,that landward,
609,dineunguku,,seawards,
610,dingi,,tight,
611,dingi-dingi,,song game,
612,dino,,loom,
613,dino,ma,burned,
614,dino,,loom,
615,diodaka,,crawl under,
616,dioha,,house,
617,diopo,,brothers *wife,
618,diopo,,wives of brothers,
619,dipidili,,release,
620,dipo,,knock o ff fruit,
621,dipongo,,banana,
622,dipopa,,steep ending,
623,ditifa,,fall on,
624,ditoko,,set aside,
625,ditoko,,deviate,
626,doa,ho ma,"climb, ascend",
627,doaaura,,surprise,
628,doabutu,,purchase price,
629,doa-doana,,call names,
630,doaka,ma,ransom,
631,doana,,call names,
632,dobalyaana,,flat depressed,
633,dobi-dobiki,ma,a *little bit,
634,dobiki,ho,break o ff,
635,dobongo,ho ma,wade,
636,doda,,anchor,
637,dodadi,,"creature, origin",
638,dodaga,,canoe *plank,
639,dodagi,ma,"journey, passage",
640,dodai,,"plates, dishes",
641,dodakouro,,knocker,
642,dodama,,prolonged *wait,
643,dodanu,,colateral,
644,dodara,,"love, affection",
645,dodato,,fear,
646,dode,,shrimp,
647,dodego,,"press, sugar press",
648,dodemo,,spoken,
649,dodengi,,file,
650,dodeuke,,fish,
651,dodeureboko,,red,
652,dodiai,,"right, good",
653,dodiawo,nanga,friend,
654,dodiba,nanga,head *hair,body part
655,dodigiranga,,long wide *mat,
656,dodigiranga,,long thin *object,
657,dodiha,,snake,
658,dodilakeuru,,vessel,
659,dodilibu,,sayur liling,
660,dodilibu,,vegetable,
661,dodinguku,,reward,
662,dodipoko,,short,
663,dodo,o,sweet rice cakes,food
664,dodoa,i na,"matter, happen",
665,dodoaha,Q,why,
666,dodoana,,call names,
667,dododoto,o,youngest *child,kin
668,dodogumu,ma,rest,
669,dodoku,o,bridge,
670,dodoma,o,k o *shark,animal
671,dodomi,,placenta,body part
672,dodomo,,"point, peak",
673,dodomo,,"point, pinacle",
674,dodongu,,mark,
675,dodoole,,roasted *sago balls,
676,dodopoko,,spear,
677,dodoporono,,pile,
678,dodoporono,,pile,
679,dodora,,"weep for, lament",
680,dodoto,nanga,younger same-sex *sibling,kin
681,dodotoko,,instruction,
682,dodouno,,"clear, transparent",
683,dodowi,,forearm,
684,dodowiti,,carrying *stick,
685,dodubena,,soft,
686,dodubuho,,weight,
687,dodubuho,,burdening,
688,doduga,,dry *measure,
689,dodukuru,,crossbeam,
690,dodulali,,stay in one spot,
691,dodulihi,,pencil,
692,dodumu,,bath water,
693,dodumule,,pull out weeds,
694,dodupukuru,,wide *mat,
695,dodutuku,,"anvil, stamper",
696,dofai,,lime,
697,dofo,,"feed, foster",
698,dogilianga,,"unfurl, unroll",
699,dogo,,"throw in, fill up",
700,dogohanga,,insanity,
701,dogowini,,hard,
702,dogu,,hold up,
703,dogumu,,hold up,
704,doha-dohangau,,desire,
705,dohai,,lime,
706,dohangau,,fasten,
707,doharabaka,,splash,
708,dohata,,angry,
709,doheuwelanga,,whirl in,
710,dohi,,pick,
711,dohiki,,steal,
712,dohoho,,fly,
713,dohotana,,release,
714,dohu-dohuku,,stammer,
715,dohuku,,"go, backwards",
716,dohutu,,darkness,
717,doi,,banana,
718,doi-doimi,,archery,
719,doimi,ho ma,shoot (with bow),hunting
720,doio,o,crayfish,animal
721,dojo,,pass by,
722,doka,,stoke fire,
723,doka,loc,there,
724,doka-dokara,ma,red,color
725,dokeute,,forehead,
726,dokeute,,crack,
727,doko,ha,"step on, step in",tool
728,dokoto,o,wild coconut *palm,plant
729,dola-bololo,,incantation,
730,dolya,,contents,
731,dolyomo,,point,
732,doma,,"dead, homicide",
733,domi,,coconut *spike,
734,domigu,,week,
735,domoata,o,"haze, mist",
736,domoro,,first *fruit,
737,domoteke,ha,agree,
738,domoteuke,,splint,
739,domuraga,,"premature, eager, hurried, rash",
740,done,part,then,
741,donga-donga,,joints,
742,dongono,,month,
743,doohi,o,k o *fish,fish
744,doolenge,ma,"dry, not *fresh",
745,doouku,,"faded, withered",
746,dopa-dopa,,singing game,
747,dopo-dopo,,portion of *sago,
748,dopo-dopo,,dagger,
749,dopoko,,stitch,
750,dopotoka,,struck using spring action,
751,dora,ha,"have compassion, have pity",
752,dorari,,"attend *feasts, privates",
753,dori,,sprout,
754,doriha,,put against,
755,doriki,,basketwork,
756,doro,,"strait, passage",
757,doroa,,son in law,kin
758,dorou,,"bad, ugly",
759,dorure,,threshold,
760,doruru,,porch,
761,dotaka,,bring,
762,dotaka,,bring,
763,dotama,,drumsticks,
764,dotama,,drumsticks,
765,dotara,,come out,
766,doteri,,doctor,
767,doteuke,,tap,
768,doteuri,,doctor,
769,doti,,bewitch,
770,doti,,bewitch,
771,dotiliara,,cut away,
772,doto,ma,"sharp, cape, point",nautical
773,doto-doto,,sharp,
774,dotogoreuhe,,intense *crying,
775,dotoko,ho ma,"learn, teach",
776,dotoreke,o,gecko,animal
777,dotoreke,o,thunder,
778,dotowara,,hardened,
779,dotumo,,throw,
780,dotumu,,fourth generation *grandparents,kin
781,dowiti,,carry with sticks,
782,dowongi,o,"beach, sand",nautical
783,dowora,o,ironwood,plant
784,dua-dua,,bellows,
785,dubaba,,pour,
786,dubara,,adversity,
787,dubo,,put up high,
788,dubuho,,heavy,
789,dudu,ma,"cigarette, to *smoke (tobacco)",
790,dudubo,,put s t up high,
791,duduga,,measure,
792,duduheure,,final decision,
793,duduku,,"resentment, unpleasantness, apathy",
794,dudumunu,,west,
795,dudumutu,ma,index *finger,body part
796,dudungono,,dainty,
797,dudungu,,lumbar pain,
798,dudungu,,dry,
799,dudungutu,,direction,
800,dudungutu,,direction,
801,dudunu,,June,
802,duduono,,crowd of people,
803,dudutu,,grayhaired,
804,dudutu,,"drop, drip",
805,dudutu,,pick lice from hair,
806,duduuru,,lazy,
807,dudyu,,fill,
808,duga,,size,
809,duga,,measure,
810,duga-duga,,"only, except",
811,duhu,,chase away,
812,duhuhu,,baby,
813,duhuhuru,,"hunt, flush",
814,duhuku,ho,shoot,
815,duhunu,,"help, assist",
816,duka-duka,,sitting melancholy,
817,dukama,,"melancholy, sad",
818,dukono,,volcano,
819,duku,,stand with arms down,
820,duku,,press,
821,dukunu,,coconut,
822,dukuru,,coconut,
823,dukuru,,lay across,
824,dukuru,,"assist, answer for",
825,dulada,,image,
826,dulaka,,prostitution,
827,dulaka,,"lewd, prostitute",
828,dulali,,unfair *taunting,
829,dulihi,,color,
830,dulu,,arrive,
831,dululu,,roll against,
832,dulumutu,,waste,
833,duma,,push,
834,duma-duma,,push on,
835,dumamata,,evening land *breeze,
836,dumeda,,"competent, quick",
837,dumu,,plant rice,
838,dumu-bole,,soft *food,
839,dumule,o,garden,
840,dumunitara,,"dew, rain",
841,dumunu,,west,
842,dumunu,,dive,
843,dumutu,,"index, *finger",
844,dumutu,,forefinger,
845,dunata,,"greed, gluttony",
846,dungiri,ma,"scale (of fish), k o freshwater *fish, k o plant, to *scale (fish)",body part
847,dungouno,ho,"prefer, refuse s t",
848,dungu-dungutu,,run to meet,
849,dungutu,nanga,intention,
850,dunia,ho,talk of marriage arrangements,
851,dunia,o,world,
852,duono,,crowd of people,
853,dupuda,,breakout in a rash,
854,dupuri,,*infertile ground,
855,durahi,,steepness,
856,durahi,ma,bluff,
857,dure,part,very,
858,duru,ADV,very,
859,duru,ma,"after, behind",
860,dururu,ma,replacement,
861,dutu,ma,property owner,
862,dutu-dutuku,,drive on,
863,dutungutu,,awl,
864,duuuku,,"shape, form",
865,duuuku,,mourn,
866,duuuru,,miserly,
867,ebe,o,"file, rasp, fish *fin",
868,edeukati,,"sense, inclination, plan",
869,ee,,grandmother,
870,ehato,,"push, press on",
871,ehe,ho,"rub, scour, rub off s t",
872,eh!,,well,
873,eka,,betel,
874,eke,,fine *mats,
875,ekere,ha,winnow rice,
876,eki,,tobacco plug,
877,eko,part,or,
878,ekoro,,tortise shell *comb,
879,ele,,"let *loose, slip",
880,ele,nanga,grandmother,kin
881,elu-eluku,,lie continuously,
882,eluku,,lie,
883,elye,,grandmother,
884,emouno,,"dirty, revolting",
885,enangohi,ma,still more,
886,enga-engayo,,not fresh,
887,engini,o,enemy,
888,eni,,"this, these",
889,eri,,brother in law,
890,ete,nanga,grandfather,kin
891,eteki,ma,"small (of things), small (of people)",
892,etongo,ho,"count, calculate",
893,faaumu,,female *servant,
894,fafara,,shiver,
895,fafaru,,streams,
896,fafati,,"reason, excuse",
897,fafo,,"stack, pile",
898,faida,,"profit, happiness, advantage",
899,faiti,,dig up,
900,faja,,"greasy, dirty, messy",
901,faka,,peel,
902,fakati,,"agreement, consideration",
903,fakiri,,fictional *woman,
904,fala,,house,
905,falola,,answer,
906,fangi,,"turn, avert, stop",
907,fangu,,"pay, compensate, satisfy",
908,fangunu,,"pay, compensate",
909,farade,,put in mouth,
910,fara-fara,,"all, one by one",
911,fara-fara,,"classify, divide",
912,fareune,,step in,
913,fasali,,"chapter, division, portion",
914,fatu-fatu,,hoe,
915,fau,,widow,
916,fauru,,handle,
917,fekata,,spouse,
918,fenes,o,bugis sailing *canoe,
919,feno,,"help, assist",
920,feoleouru,,turn over,
921,feoto,,tap palm wine,
922,fero,,"grow fast, shoot up",
923,feulenga,,open,
924,feuleta,,sago rattle,
925,feune,,tortise,
926,fideuro,,friction,
927,fidili,,let *loose,
928,fififi,,suck,
929,filidouro,o,small *bird,animal
930,fini,,seed,
931,firanga,,sister,
932,firikiti,,distort,
933,firu-firu,o,night *bird,animal
934,fisa,,loincloth,
935,fita,,"tie, ribbon",
936,fitako,,tree,
937,fitana,,"badness, iniquity, untruthfulness",
938,fofan,,soap *tree,
939,fofo,o,bird,animal
940,fofongo,,shade,
941,foka,,wash out,
