633,dobiki,ho,break o ff,
634,dobongo,ho ma,wade,
635,doda,,anchor,
636,dodadi,,"creature, origin",
637,dodaga,,canoe plank,
638,dodagi,ma,"journey, passage",
639,dodai,,"plates, dishes",
640,dodakouro,,knocker,
641,dodama,,prolonged wait,
642,dodanu,,colateral,
643,dodara,,"love, affection",
644,dodato,,fear,
645,dode,,shrimp,
646,dodego,,"press, sugar press",
647,dodemo,,spoken,
648,dodengi,,file,
649,dodeuke,,fish,
650,dodeureboko,,red,
651,dodiai,,"right, good",
652,dodiawo,nanga,friend,
653,dodiba,nanga,head hair,body part
654,dodigiranga,,long wide mat,
655,dodigiranga,,long thin object,
656,dodiha,,snake,
657,dodilakeuru,,vessel,
658,dodilibu,,sayur liling,
659,dodilibu,,vegetable,
660,dodinguku,,reward,
661,dodipoko,,short,
662,dodo,o,sweet rice cakes,food
663,dodoa,i na,"matter, happen, what's the matter?, it doesn't matter, what do you want?",
664,dodoaha,Q,why,
665,dodoana,,call names,
666,dododoto,o,youngest child,kin
667,dodogumu,ma,rest,
668,dodoku,o,bridge,
669,dodoma,o,k o shark,animal
670,dodomi,,placenta,body part
671,dodomo,,"point, peak",
672,dodomo,,"point, pinacle",
673,dodongu,,mark,
674,dodoole,,roasted sago balls,
675,dodopoko,,spear,
676,dodoporono,,pile,
677,dodoporono,,pile,
678,dodora,,"weep for, lament",
679,dodoto,nanga,younger same-sex sibling,kin
680,dodotoko,,instruction,
681,dodouno,,"clear, transparent",
682,dodowi,,forearm,
683,dodowiti,,carrying stick,
684,dodubena,,soft,
685,dodubuho,,weight,
686,dodubuho,,burdening,
687,doduga,,dry measure,
688,dodukuru,,crossbeam,
689,dodulali,,stay in one spot,
690,dodulihi,,pencil,
691,dodumu,,bath water,
692,dodumule,,pull out weeds,
693,dodupukuru,,wide mat,
694,dodutuku,,"anvil, stamper",
695,dofai,,lime,
696,dofo,,"feed, foster",
697,dogilianga,,"unfurl, unroll",
698,dogo,,"throw in, fill up",
699,dogohanga,,insanity,
700,dogowini,,hard,
701,dogu,,hold up,
702,dogumu,,hold up,
703,doha-dohangau,,desire,
704,dohai,,lime,
705,dohangau,,fasten,
706,doharabaka,,splash,
707,dohata,,angry,
708,doheuwelanga,,whirl in,
709,dohi,,pick,
710,dohiki,,steal,
711,dohoho,,fly,
712,dohotana,,release,
713,dohu-dohuku,,stammer,
714,dohuku,,"go, backwards",
715,dohutu,,darkness,
716,doi,,banana,
717,doi-doimi,,archery,
718,doimi,ho ma,shoot (with bow),hunting
719,doio,o,crayfish,animal
720,dojo,,pass by,
721,doka,,stoke fire,
722,doka,LOC,there,
723,doka-dokara,ma,red,color
724,dokeute,,forehead,
725,dokeute,,crack,
726,doko,ha,"step on, step in",tool
727,dokoto,o,wild coconut palm,plant
728,dola-bololo,,incantation,
729,dolya,,contents,
730,dolyomo,,point,
731,doma,,"dead, homicide",
732,domi,,coconut spike,
733,domigu,,week,
734,domoata,o,"haze, mist",
735,domoro,,first fruit,
736,domoteke,ha,"agree, agree with me",
737,domoteuke,,splint,
738,domuraga,,"premature, eager, hurried, rash",
739,done,PART,then,
740,donga-donga,,joints,
741,dongono,,month,
742,doohi,o,k o fish,fish
743,doolenge,ma,"dry, not fresh",
744,doouku,,"faded, withered",
745,dopa-dopa,,singing game,
746,dopo-dopo,,portion of sago,
747,dopo-dopo,,dagger,
748,dopoko,,stitch,
749,dopotoka,,struck using spring action,
750,dora,ha,"have compassion, have pity",
751,dorari,,"attend feasts, privates",
752,dori,,sprout,
753,doriha,,put against,
754,doriki,,basketwork,
755,doro,,"strait, passage",
756,doroa,,son in law,kin
757,dorou,,"bad, ugly",
758,dorure,,threshold,
759,doruru,,porch,
760,dotaka,,bring,
761,dotaka,,bring,
762,dotama,,drumsticks,
763,dotama,,drumsticks,
764,dotara,,come out,
765,doteri,,doctor,
766,doteuke,,tap,
767,doteuri,,doctor,
768,doti,,bewitch,
769,doti,,bewitch,
770,dotiliara,,cut away,
771,doto,ma,"sharp, cape, point",nautical
772,doto-doto,,sharp,
773,dotogoreuhe,,intense crying,
774,dotoko,ho ma,"learn, teach",
775,dotoreke,o,gecko,animal
776,dotoreke,o,thunder,
777,dotowara,,hardened,
778,dotumo,,throw,
779,dotumu,,fourth generation grandparents,kin
780,dowiti,,carry with sticks,
781,dowongi,o,"beach, sand",nautical
782,dowora,o,ironwood,plant
783,dua-dua,,bellows,
784,dubaba,,pour,
785,dubara,,adversity,
786,dubo,,put up high,
787,dubuho,,heavy,
788,dudu,ma,"cigarette, to smoke (tobacco)",
789,dudubo,,put s t up high,
790,duduga,,measure,
791,duduheure,,final decision,
792,duduku,,"resentment, unpleasantness, apathy",
793,dudumunu,,west,
794,dudumutu,ma,index finger,body part
795,dudungono,,dainty,
796,dudungu,,lumbar pain,
797,dudungu,,dry,
798,dudungutu,,direction,
799,dudungutu,,direction,
800,dudunu,,June,
801,duduono,,crowd of people,
802,dudutu,,grayhaired,
803,dudutu,,"drop, drip",
804,dudutu,,pick lice from hair,
805,duduuru,,lazy,
806,dudyu,,fill,
807,duga,,size,
808,duga,,measure,
809,duga-duga,,"only, except",
810,duhu,,chase away,
811,duhuhu,,baby,
812,duhuhuru,,"hunt, flush",
813,duhuku,ho,shoot,
814,duhunu,,"help, assist",
815,duka-duka,,sitting melancholy,
816,dukama,,"melancholy, sad",
817,dukono,,volcano,
818,duku,,stand with arms down,
819,duku,,press,
820,dukunu,,coconut,
821,dukuru,,coconut,
822,dukuru,,lay across,
823,dukuru,,"assist, answer for",
824,dulada,,image,
825,dulaka,,prostitution,
826,dulaka,,"lewd, prostitute",
827,dulali,,unfair taunting,
828,dulihi,,color,
829,dulu,,arrive,
830,dululu,,roll against,
831,dulumutu,,waste,
832,duma,,push,
833,duma-duma,,push on,
834,dumamata,,evening land breeze,
835,dumeda,,"competent, quick",
836,dumu,,plant rice,
837,dumu-bole,,soft food,
838,dumule,o,garden,
839,dumunitara,,"dew, rain",
840,dumunu,,west,
841,dumunu,,dive,
842,dumutu,,"index, finger",
843,dumutu,,forefinger,
844,dunata,,"greed, gluttony",
845,dungiri,ma,"scale, fish scale, k o freshwater fish, k o plant, to scale",fish
846,dungouno,ho,"prefer, refuse s t",
847,dungu-dungutu,,run to meet,
848,dungutu,nanga,intention,
849,dunia,ho,talk of marriage arrangements,
850,dunia,o,world,
851,duono,,crowd of people,
852,dupuda,,breakout in a rash,
853,dupuri,,infertile ground,
854,durahi,,steepness,
855,durahi,ma,bluff,
856,dure,PART,very,
857,duru,ADV,very,
858,duru,ma,"after, behind",
859,dururu,ma,replacement,
860,dutu,ma,property owner,
861,dutu-dutuku,,drive on,
862,dutungutu,,awl,
863,duuuku,,"shape, form",
864,duuuku,,mourn,
865,duuuru,,miserly,
866,ebe,o,"file, rasp, fish fin",
867,edeukati,,"sense, inclination, plan",
868,ee,,grandmother,
869,ehato,,"push, press on",
870,ehe,ho,"rub, scour, rub off s t",
871,eh!,,well,
872,eka,,betel,
873,eke,,fine mats,
874,ekere,ha,winnow rice,
875,eki,,tobacco plug,
876,eko,PART,or,
877,ekoro,,tortise shell comb,
878,ele,,"let loose, slip",
879,ele,nanga,grandmother,kin
880,elu-eluku,,lie continuously,
881,eluku,,lie,
882,elye,,grandmother,
883,emouno,,"dirty, revolting",
884,enangohi,ma,still more,
885,enga-engayo,,not fresh,
886,engini,o,enemy,
887,eni,,"this, these",
888,eri,,brother in law,
889,ete,nanga,grandfather,kin
890,eteki,ma,"small (of things), small (of people)",
891,etongo,ho,"count, calculate",
892,faaumu,,female servant,
893,fafara,,shiver,
894,fafaru,,streams,
895,fafati,,"reason, excuse",
896,fafo,,"stack, pile",
897,faida,,"profit, happiness, advantage",
898,faiti,,dig up,
899,faja,,"greasy, dirty, messy",
900,faka,,peel,
901,fakati,,"agreement, consideration",
902,fakiri,,fictional woman,
903,fala,,house,
904,falola,,answer,
905,fangi,,"turn, avert, stop",
906,fangu,,"pay, compensate, satisfy",
907,fangunu,,"pay, compensate",
908,farade,,put in mouth,
909,fara-fara,,"all, one by one",
910,fara-fara,,"classify, divide",
911,fareune,,step in,
912,fasali,,"chapter, division, portion",
913,fatu-fatu,,hoe,
914,fau,,widow,
915,fauru,,handle,
916,fekata,,spouse,
917,fenes,o,bugis sailing canoe,
918,feno,,"help, assist",
919,feoleouru,,turn over,
920,feoto,,tap palm wine,
921,fero,,"grow fast, shoot up",
922,feulenga,,open,
923,feuleta,,sago rattle,
924,feune,,tortise,
925,fideuro,,friction,
926,fidili,,let loose,
927,fififi,,suck,
928,filidouro,o,small bird,animal
929,fini,,seed,
930,firanga,,sister,
931,firikiti,,distort,
932,firu-firu,o,night bird,animal
933,fisa,,loincloth,
934,fita,,"tie, ribbon",
935,fitako,,tree,
936,fitana,,"badness, iniquity, untruthfulness",
937,fofan,,soap tree,
938,fofo,o,bird,animal
939,fofongo,,shade,
940,foka,,wash out,
941,fokoto,,fist,
942,fokumu,,pour out,
943,foloi,,more,
944,folori,,"prescious stone, costly wood",
